"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.4026,386.6,538.43,130.17,6.2961e-21,2.2669e+05,1,0.22811,0.72,0.06028,1
1.4029,386.57,538.52,130.18,7.2071e-21,2.2658e+05,1,0.22915,0.721,0.060554,1
1.4032,386.53,538.61,130.18,8.1181e-21,2.2646e+05,1,0.23018,0.722,0.060828,1
1.4035,386.49,538.7,130.19,9.0291e-21,2.2634e+05,1,0.23122,0.723,0.061102,1
1.4038,386.46,538.79,130.19,7.5967e-20,2.2623e+05,1,0.23226,0.724,0.061376,1
1.404,386.44,538.84,130.19,6.2994e-19,2.2615e+05,1,0.23329,0.725,0.06165,1
1.4041,386.42,538.9,130.19,1.1839e-18,2.2608e+05,1,0.23433,0.726,0.061924,1
1.4043,386.4,538.95,130.19,1.7378e-18,2.26e+05,1,0.23537,0.727,0.062198,1
1.4045,386.38,539.01,130.19,2.2916e-18,2.2593e+05,1,0.2364,0.728,0.062472,1
1.4046,386.36,539.06,130.19,2.8455e-18,2.2586e+05,1,0.23744,0.729,0.062746,1
1.4048,386.35,539.12,130.19,3.3994e-18,2.2578e+05,1,0.23848,0.73,0.06302,1
1.405,386.33,539.17,130.19,3.9532e-18,2.2571e+05,1,0.23951,0.731,0.063294,1
1.4051,386.31,539.23,130.18,4.507e-18,2.2564e+05,1,0.24055,0.732,0.063568,1
1.4053,386.29,539.28,130.18,5.0608e-18,2.2556e+05,1,0.24159,0.733,0.063842,1
1.4055,386.27,539.34,130.18,5.6147e-18,2.2549e+05,1,0.24262,0.734,0.064116,1
1.4056,386.25,539.39,130.18,6.1684e-18,2.2541e+05,1,0.24366,0.735,0.06439,1
1.4058,386.23,539.45,130.18,6.7222e-18,2.2534e+05,1,0.2447,0.736,0.064664,1
1.406,386.21,539.51,130.18,7.2759e-18,2.2527e+05,1,0.24574,0.737,0.064938,1
1.4061,386.2,539.56,130.18,7.8296e-18,2.2519e+05,1,0.24677,0.738,0.065212,1
1.4063,386.18,539.61,130.18,8.3302e-18,2.2513e+05,1,0.24781,0.739,0.065486,1
1.4064,386.18,539.64,130.17,8.6103e-18,2.2509e+05,1,0.24885,0.74,0.06576,1
1.4064,386.17,539.66,130.17,8.8903e-18,2.2505e+05,1,0.24988,0.741,0.066034,1
1.4065,386.17,539.69,130.17,9.1703e-18,2.2502e+05,1,0.25092,0.742,0.066308,1
1.4066,386.16,539.71,130.17,9.4503e-18,2.2498e+05,1,0.25196,0.743,0.066582,1
1.4066,386.16,539.74,130.17,9.7304e-18,2.2494e+05,1,0.25299,0.744,0.066856,1
1.4067,386.15,539.76,130.17,1.001e-17,2.2491e+05,1,0.25403,0.745,0.06713,1
1.4068,386.15,539.79,130.17,1.029e-17,2.2487e+05,1,0.25507,0.746,0.067404,1
1.4069,386.14,539.81,130.17,1.057e-17,2.2483e+05,1,0.2561,0.747,0.067678,1
1.4069,386.14,539.84,130.17,1.085e-17,2.248e+05,1,0.25714,0.748,0.067952,1
1.407,386.13,539.86,130.17,1.113e-17,2.2476e+05,1,0.25818,0.749,0.068226,1
1.4071,386.13,539.89,130.17,1.141e-17,2.2472e+05,1,0.25921,0.75,0.0685,1
1.4071,386.12,539.91,130.16,1.169e-17,2.2469e+05,1,0.26025,0.751,0.068774,1
1.4072,386.12,539.94,130.16,1.197e-17,2.2465e+05,1,0.26129,0.752,0.069048,1
1.4073,386.11,539.96,130.16,1.2249e-17,2.2461e+05,1,0.26233,0.753,0.069322,1
1.4073,386.11,539.98,130.16,1.2455e-17,2.2458e+05,1,0.26336,0.754,0.069596,1
1.4073,386.12,539.98,130.17,1.2457e-17,2.2458e+05,1,0.2644,0.755,0.06987,1
1.4073,386.12,539.98,130.17,1.2459e-17,2.2457e+05,1,0.26544,0.756,0.070144,1
1.4073,386.13,539.99,130.17,1.2461e-17,2.2456e+05,1,0.26647,0.757,0.070418,1
