"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.1883,417.94,496.04,62.69,3.9006e-18,2.5291e+05,1,0.26933,0.753,0.092345,1
1.1879,418.03,495.84,62.834,3.7816e-18,2.5313e+05,1,0.27039,0.754,0.09271,1
1.1874,418.11,495.64,62.978,3.6626e-18,2.5334e+05,1,0.27146,0.755,0.093075,1
1.1869,418.2,495.43,63.122,3.5436e-18,2.5355e+05,1,0.27252,0.756,0.09344,1
1.1864,418.28,495.23,63.266,3.4246e-18,2.5376e+05,1,0.27358,0.757,0.093805,1
1.186,418.37,495.03,63.411,3.3056e-18,2.5397e+05,1,0.27465,0.758,0.09417,1
1.1855,418.45,494.82,63.555,3.1866e-18,2.5418e+05,1,0.27571,0.759,0.094535,1
1.185,418.54,494.62,63.699,3.0676e-18,2.5439e+05,1,0.27678,0.76,0.0949,1
1.1846,418.62,494.42,63.843,2.9486e-18,2.546e+05,1,0.27784,0.761,0.095265,1
1.1841,418.71,494.21,63.987,2.8296e-18,2.5482e+05,1,0.27891,0.762,0.09563,1
1.1836,418.79,494.01,64.131,2.7106e-18,2.5503e+05,1,0.27997,0.763,0.095995,1
1.1831,418.88,493.81,64.275,2.5916e-18,2.5524e+05,1,0.28104,0.764,0.09636,1
1.1827,418.96,493.61,64.419,2.4726e-18,2.5545e+05,1,0.2821,0.765,0.096725,1
1.1822,419.05,493.4,64.563,2.3536e-18,2.5566e+05,1,0.28317,0.766,0.09709,1
1.1817,419.13,493.2,64.708,2.2346e-18,2.5587e+05,1,0.28423,0.767,0.097455,1
1.1813,419.22,493,64.852,2.1156e-18,2.5608e+05,1,0.28529,0.768,0.09782,1
1.1808,419.3,492.79,64.996,1.9966e-18,2.5629e+05,1,0.28636,0.769,0.098185,1
