"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.797,327.67,650.67,56.147,-2.8501e-18,1.3767e+05,1,0.22093,0.72,0.02024,1
1.7973,327.63,650.73,56.195,-3.2413e-18,1.376e+05,1,0.22193,0.721,0.020332,1
1.7976,327.59,650.8,56.243,-3.6325e-18,1.3753e+05,1,0.22294,0.722,0.020424,1
1.7979,327.54,650.86,56.292,-4.0237e-18,1.3747e+05,1,0.22394,0.723,0.020516,1
1.7982,327.5,650.93,56.336,-4.3683e-18,1.374e+05,1,0.22495,0.724,0.020608,1
1.7985,327.46,650.99,56.357,-4.3695e-18,1.3734e+05,1,0.22595,0.725,0.0207,1
1.7988,327.42,651.05,56.378,-4.3707e-18,1.3727e+05,1,0.22695,0.726,0.020792,1
1.7991,327.38,651.12,56.399,-4.3719e-18,1.3721e+05,1,0.22796,0.727,0.020884,1
1.7994,327.34,651.18,56.419,-4.3731e-18,1.3715e+05,1,0.22896,0.728,0.020976,1
1.7996,327.3,651.24,56.44,-4.3742e-18,1.3708e+05,1,0.22997,0.729,0.021068,1
1.7999,327.27,651.3,56.461,-4.3754e-18,1.3702e+05,1,0.23097,0.73,0.02116,1
1.8002,327.23,651.37,56.481,-4.3766e-18,1.3696e+05,1,0.23198,0.731,0.021252,1
1.8005,327.19,651.43,56.502,-4.3778e-18,1.3689e+05,1,0.23298,0.732,0.021344,1
1.8008,327.15,651.49,56.523,-4.379e-18,1.3683e+05,1,0.23398,0.733,0.021436,1
1.8011,327.11,651.56,56.543,-4.3802e-18,1.3677e+05,1,0.23499,0.734,0.021528,1
1.8014,327.07,651.62,56.564,-4.3814e-18,1.367e+05,1,0.23599,0.735,0.02162,1
1.8016,327.03,651.68,56.585,-4.3827e-18,1.3664e+05,1,0.237,0.736,0.021712,1
1.8019,326.99,651.74,56.606,-4.3839e-18,1.3658e+05,1,0.238,0.737,0.021804,1
1.8022,326.95,651.81,56.626,-4.3851e-18,1.3651e+05,1,0.23901,0.738,0.021896,1
1.8025,326.91,651.87,56.643,-4.329e-18,1.3645e+05,1,0.24001,0.739,0.021988,1
1.8027,326.88,651.93,56.641,-4.0347e-18,1.364e+05,1,0.24101,0.74,0.02208,1
1.803,326.85,651.98,56.64,-3.7405e-18,1.3634e+05,1,0.24202,0.741,0.022172,1
1.8032,326.81,652.04,56.639,-3.4463e-18,1.3628e+05,1,0.24302,0.742,0.022264,1
1.8035,326.78,652.1,56.638,-3.1521e-18,1.3623e+05,1,0.24403,0.743,0.022356,1
1.8037,326.74,652.15,56.636,-2.8579e-18,1.3617e+05,1,0.24503,0.744,0.022448,1
1.804,326.71,652.21,56.635,-2.5638e-18,1.3611e+05,1,0.24603,0.745,0.02254,1
1.8042,326.68,652.27,56.634,-2.2696e-18,1.3606e+05,1,0.24704,0.746,0.022632,1
1.8045,326.64,652.32,56.632,-1.9755e-18,1.36e+05,1,0.24804,0.747,0.022724,1
1.8047,326.61,652.38,56.631,-1.6814e-18,1.3594e+05,1,0.24905,0.748,0.022816,1
1.805,326.58,652.44,56.63,-1.3872e-18,1.3589e+05,1,0.25005,0.749,0.022908,1
1.8052,326.54,652.5,56.628,-1.0931e-18,1.3583e+05,1,0.25106,0.75,0.023,1
1.8055,326.51,652.55,56.627,-7.9904e-19,1.3577e+05,1,0.25206,0.751,0.023092,1
1.8057,326.48,652.61,56.626,-5.0496e-19,1.3572e+05,1,0.25306,0.752,0.023184,1
1.806,326.44,652.67,56.625,-2.1088e-19,1.3566e+05,1,0.25407,0.753,0.023276,1
1.8062,326.41,652.72,56.619,4.2084e-21,1.3561e+05,1,0.25507,0.754,0.023368,1
1.8064,326.38,652.77,56.601,4.305e-21,1.3556e+05,1,0.25608,0.755,0.02346,1
1.8066,326.35,652.82,56.583,4.4016e-21,1.3551e+05,1,0.25708,0.756,0.023552,1
1.8068,326.33,652.87,56.566,4.4982e-21,1.3546e+05,1,0.25809,0.757,0.023644,1
1.807,326.3,652.92,56.548,4.5949e-21,1.3541e+05,1,0.25909,0.758,0.023736,1
1.8072,326.27,652.96,56.53,4.6916e-21,1.3537e+05,1,0.26009,0.759,0.023828,1
1.8074,326.25,653.01,56.512,4.7882e-21,1.3532e+05,1,0.2611,0.76,0.02392,1
1.8077,326.22,653.06,56.495,4.8849e-21,1.3527e+05,1,0.2621,0.761,0.024012,1
1.8079,326.19,653.11,56.477,4.9817e-21,1.3522e+05,1,0.26311,0.762,0.024104,1
1.8081,326.16,653.16,56.459,5.0784e-21,1.3518e+05,1,0.26411,0.763,0.024196,1
1.8083,326.14,653.21,56.441,5.1751e-21,1.3513e+05,1,0.26511,0.764,0.024288,1
1.8085,326.11,653.26,56.424,5.2719e-21,1.3508e+05,1,0.26612,0.765,0.02438,1
1.8087,326.08,653.31,56.406,5.3687e-21,1.3503e+05,1,0.26712,0.766,0.024472,1
1.8089,326.06,653.35,56.388,5.4655e-21,1.3498e+05,1,0.26813,0.767,0.024564,1
